pr_number,pr_title,bug_description,severity,caught,evidence,confidence
22345,"feat: convert InsightsBookingService to use Prisma.sql raw queries","Fetching userIdsFromOrg only when teamsFromOrg.length > 0 can exclude org-level members for orgs wit",Medium,NO,"",0.0
7232,"Comprehensive workflow reminder management for booking lifecycle events","Asynchronous functions deleteScheduledEmailReminder and deleteScheduledSMSReminder are called withou",Medium,YES,"Every call site uses `forEach` to invoke async deletion functions without awaiting them. ... deleteScheduledEmailReminde",0.97
7232,"Comprehensive workflow reminder management for booking lifecycle events","When immediateDelete is true, the deleteScheduledEmailReminder function cancels the SendGrid email b",High,YES,"When `immediateDelete` is `true`, this function cancels the SendGrid scheduled send and then... just returns. The `Workf",0.99
8330,"Advanced date override handling and timezone compatibility improvements","Incorrect end time calculation using slotStartTime instead of slotEndTime",Medium,YES,"`start` and `end` are computed from the **identical expression**: `slotStartTime.hour() * 60 + slotStartTime.minute()`. ",0.99
8330,"Advanced date override handling and timezone compatibility improvements","Using === for dayjs object comparison will always return false as it compares object references, not",Medium,YES,"Two separate `dayjs()` calls produce two separate objects. `===` compares references, not values. This condition is **al",0.99
11059,"OAuth credential sync and app integration enhancements","The parseRefreshTokenResponse function incorrectly sets refresh_token to the hardcoded string 'refre",High,YES,"Injects the literal string ""refresh_token"" when the provider doesn't return one. Next refresh cycle sends refresh_token=",0.97
11059,"OAuth credential sync and app integration enhancements","Invalid Zod schema syntax. Computed property keys like [z.string().toString()] are not valid in Zod ",High,YES,"`z.string().toString()` evaluates to the literal string `""ZodString""` at runtime. This doesn't create a dynamic key sche",0.97
11059,"OAuth credential sync and app integration enhancements","parseRefreshTokenResponse returns a Zod safeParse result ({ success, data, error }), not the credent",High,YES,"The function returns the entire `{ success: true, data: {...} }` safeParse wrapper, not `refreshTokenResponse.data`. Thi",0.97
11059,"OAuth credential sync and app integration enhancements","When APP_CREDENTIAL_SHARING_ENABLED and CALCOM_CREDENTIAL_SYNC_ENDPOINT are set, the refreshFunction",High,YES,"Finding #4: 'The sync branch returns a raw fetch Response. The normal branch returns whatever the provider-specific func",0.97
11059,"OAuth credential sync and app integration enhancements","When the sync endpoint path is used, res is a fetch Response and has no .data; res?.data will be und",High,YES,"When APP_CREDENTIAL_SHARING_ENABLED is true, refreshOAuthTokens returns a raw fetch Response. Fetch Response objects don",0.97
14943,"SMS workflow reminder retry count tracking","Using retryCount: reminder.retryCount + 1 reads a possibly stale value and can lose increments under",High,YES,"Classic read-then-write race. reminder.retryCount was fetched at handler start. If the cron overlaps or fires twice, two",0.98
14943,"SMS workflow reminder retry count tracking","The deletion logic in scheduleSMSReminders.ts incorrectly deletes non-SMS workflow reminders (e.g., ",High,YES,"The second OR branch has no method filter. It will delete any WorkflowReminder with retryCount > 1 — SMS, email, whateve",0.97
14740,"Add guest management functionality to existing bookings","Case sensitivity bypass in email blacklist",High,YES,"The blacklist `.toLowerCase()`s its entries but the incoming `guest` is never lowercased -- so `BLOCKED@EXAMPLE.COM` sli",0.97
14740,"Add guest management functionality to existing bookings","The logic for checking team admin/owner permissions is incorrect. This condition uses AND (&&) which",Critical,YES,"Uses `&&` (AND) instead of `||` (OR). As written, `isTeamAdminOrOwner` is only `true` if the user is **both** a team adm",0.99
14740,"Add guest management functionality to existing bookings","This calls the email sender with the original guests, so existing attendees included in the input wi",Medium,NO,"",0.0
14740,"Add guest management functionality to existing bookings","uniqueGuests filters out existing attendees and blacklisted emails but does not deduplicate duplicat",Medium,YES,"Two schemas, different files, different rules. Client checks uniqueness, server doesn't. ... The uniqueness check belong",0.72
14740,"Add guest management functionality to existing bookings","Starting with an array containing an empty string may cause validation issues. Consider starting wit",Low,NO,"",0.0
22532,"feat: add calendar cache status and actions (#22532)","The updateManyByCredentialId call uses an empty data object, which prevents Prisma's @updatedAt deco",Medium,YES,"Prisma's `@updatedAt` decorator only fires when Prisma detects actual data changes in an `update` call. Passing an empty",0.99
22532,"feat: add calendar cache status and actions (#22532)","logic: macOS-specific sed syntax with empty string after -i flag will fail on Linux systems",Low,YES,"It uses macOS-specific `sed -i ''` syntax (will fail on Linux)",0.95
