pr_number,pr_title,bug_description,severity,caught,evidence,confidence
11059,"OAuth credential sync and app integration enhancements","When APP_CREDENTIAL_SHARING_ENABLED and CALCOM_CREDENTIAL_SYNC_ENDPOINT are set, the refreshFunction",High,NO,"",0.0
11059,"OAuth credential sync and app integration enhancements","When the sync endpoint path is used, res is a fetch Response and has no .data; res?.data will be und",High,NO,"",0.0
14943,"SMS workflow reminder retry count tracking","Using retryCount: reminder.retryCount + 1 reads a possibly stale value and can lose increments under",High,NO,"",0.0
14943,"SMS workflow reminder retry count tracking","The deletion logic in scheduleSMSReminders.ts incorrectly deletes non-SMS workflow reminders (e.g., ",High,YES,"The second `OR` clause has **no method filter**. This deletes *any* `WorkflowReminder` with `retryCount > 1` — email, Wh",0.99
14740,"Add guest management functionality to existing bookings","Case sensitivity bypass in email blacklist",High,YES,"guest emails aren't lowercased before comparison, so User@Example.com bypasses the blacklist",0.97
14740,"Add guest management functionality to existing bookings","The logic for checking team admin/owner permissions is incorrect. This condition uses AND (&&) which",Critical,YES,"This uses `&&` — meaning someone must be **both** admin AND owner. That's almost certainly wrong; you want `||`.",0.99
14740,"Add guest management functionality to existing bookings","This calls the email sender with the original guests, so existing attendees included in the input wi",Medium,NO,"",0.0
14740,"Add guest management functionality to existing bookings","uniqueGuests filters out existing attendees and blacklisted emails but does not deduplicate duplicat",Medium,YES,"The client-side one adds a uniqueness refinement that the server schema doesn't have... If you want uniqueness checking,",0.65
14740,"Add guest management functionality to existing bookings","Starting with an array containing an empty string may cause validation issues. Consider starting wit",Low,YES,"`multiEmailValue` initialized as `[""""]` rather than `[]` — `AddGuestsDialog.tsx:35`. This means there's always a phantom",0.95
22532,"feat: add calendar cache status and actions (#22532)","The updateManyByCredentialId call uses an empty data object, which prevents Prisma's @updatedAt deco",Medium,YES,"Passing an empty object to `updateMany` to trigger Prisma's `@updatedAt` is clever in the worst way. Anyone reading this",0.97
22532,"feat: add calendar cache status and actions (#22532)","logic: macOS-specific sed syntax with empty string after -i flag will fail on Linux systems",Low,YES,"uses macOS-specific `sed -i ''`",0.95
